ts	phase	decision	why	evidence	result
2026-08-20T15:10:00Z	reader	built a dedicated novel reader with safe document processing, assets, progress, navigation, TTS, and controls	kept novel behavior inside the Hayai boundary instead of changing J2K's image reader	app/src/main/java/dev/ahmedmohamed/hayai/novel/reader	VERIFIED
2026-08-20T15:20:00Z	validation	ran the upstream-boundary gate and the complete focused novel test suite	proved the protected lifecycle and image-reader files stayed untouched and all novel formats plus reader helpers remained green	tools/verify-upstream-boundary.ps1; gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.*	114 tests green
2026-08-20T15:30:00Z	review	fixed independent reader audit findings before commit	bound persistence to captured chapters, blocked WebView navigation, made lifecycle saves durable, and rejected stale or failed TTS utterances	app/src/main/java/dev/ahmedmohamed/hayai/novel/reader	FIXED
2026-08-20T15:42:00Z	validation	superseded the earlier reader test count after adding progress regression coverage	the complete focused novel suite includes format, reader, persistence, navigation, TTS, and progress helpers	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.*	117 tests green
2026-08-20T16:05:00Z	migration	made the legacy import retry-safe and explicitly auditable	failed automatic imports no longer loop on app start, support-triggered retries remain possible, and every v36 table is checked against the preserved schema	tools/verify-legacy-schema-audit.ps1; app/src/main/java/dev/ahmedmohamed/hayai/migration	VERIFIED
2026-08-20T16:22:00Z	review	closed the independent migration audit	wired explicit recovery into Advanced settings and made schema classification verification exact rather than textual	app/src/main/java/eu/kanade/tachiyomi/ui/setting/SettingsAdvancedController.kt; tools/verify-legacy-schema-audit.ps1	VERIFIED
2026-08-20T17:10:00Z	downloads	built self-contained offline novel chapters with atomic replacement and integrity checks	saved documents rewrite HTML, CSS, srcset, Markdown, relative, remote, and source-owned assets to a bounded offline store while preserving source-specific HTTP authentication	app/src/main/java/dev/ahmedmohamed/hayai/novel/download	VERIFIED
2026-08-20T17:18:00Z	review	closed the independent offline-reader audit	removed live-resource fallback and remote bases for downloaded chapters, enforced read/write limits, and routed HTTP assets through source overrides	app/src/main/java/dev/ahmedmohamed/hayai/novel/reader	VERIFIED
2026-08-20T17:20:00Z	validation	ran the complete focused novel suite and upstream boundary gate	verified formats, local sources, reader behavior, TTS, atomic downloads, asset rewriting, corruption fallback, and protected J2K files	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.*; tools/verify-upstream-boundary.ps1	125 tests green
2026-08-20T17:48:00Z	quotes	completed migrated and new novel quote management	selection caching survives focus changes, duplicate capture is idempotent, writes are serialized and transactional, and users can browse, copy, confirm-delete, and retain legacy quotes	app/src/main/java/dev/ahmedmohamed/hayai/novel/quote; NovelReaderActivity.kt	VERIFIED
2026-08-20T17:52:00Z	review	closed the independent quote-management audit	verified SQL, threading, legacy compatibility, capture lifecycle, concurrency, and destructive confirmation	app/src/main/java/dev/ahmedmohamed/hayai/novel/quote	VERIFIED
2026-08-20T18:20:00Z	backup	added a versioned optional Hayai payload to J2K backup and restore	preserved quotes, novel repositories, chapter statistics, and E-Hentai favorites across database ID changes without duplicating J2K-owned data	app/src/main/java/dev/ahmedmohamed/hayai/backup; Backup.kt	VERIFIED
2026-08-20T18:24:00Z	validation	ran focused serialization tests and compiled the integrated app	verified old-backup compatibility, typed payload round trips, unsafe-value rejection, and deterministic quote collision identities	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.backup.*	VERIFIED
2026-08-20T18:28:00Z	review	closed the independent Hayai backup audit	verified stable core-ID remapping, full-payload quote identity, collision preservation, idempotence, and bounded validation	app/src/main/java/dev/ahmedmohamed/hayai/backup	VERIFIED
2026-08-20T18:50:00Z	extensions	discovered installed Tsundoku novel APKs through J2K's trusted loader	kept signature trust, private-extension precedence, NSFW policy, class loading, and the single J2K extension manager authoritative	NovelExtensionManifest.kt; ExtensionLoader.kt	VERIFIED
2026-08-20T18:54:00Z	validation	compiled the loader integration and ran focused manifest contract tests	verified both feature namespaces, mixed manifests, relative and migrated class names, labels, and unsupported packages	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.extension.*	VERIFIED
2026-08-20T19:12:00Z	review	closed the independent installed-novel-extension audit	added the legacy marker ABI and cross-classloader detection after review identified a real pre-property Tsundoku compatibility gap	NovelSource.kt; NovelSourceCompatibilityTest.kt	VERIFIED
2026-08-20T19:40:00Z	statistics	completed persistent novel chapter analytics	counts readable Unicode text rather than markup, self-heals changed counts, derives progress-aware reading estimates, and keeps analytics failure from blocking the reader	app/src/main/java/dev/ahmedmohamed/hayai/novel/statistics; NovelReaderSession.kt; NovelReaderActivity.kt	VERIFIED
2026-08-20T19:46:00Z	validation	compiled the reader integration and ran focused statistics tests	verified plain text, sanitized HTML, rendered Markdown, punctuation-only chapters, Unicode words, time rounding, and progress bounds	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.statistics.*	VERIFIED
2026-08-20T20:08:00Z	review	closed the independent novel-statistics audit	separated fallible analysis from persistence and added explicit unspaced-script segmentation after two review rounds found reader-availability and CJK/Thai undercount risks	NovelTextStatistics.kt; NovelReaderSession.kt	VERIFIED
2026-08-20T20:10:00Z	validation	ran the complete novel suite plus legacy extension compatibility before final review fixes	verified the statistics integration did not regress reader, formats, downloads, quotes, or installed-novel linkage	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.* --tests eu.kanade.tachiyomi.source.NovelSourceCompatibilityTest	VERIFIED
2026-08-20T20:14:00Z	validation	reran focused statistics tests after the final review fixes	verified analysis and DB failure fallback plus Chinese, Thai, Korean, and Japanese segmentation in the final code	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.statistics.*	VERIFIED
2026-08-20T21:10:00Z	novel-plugins	built end-to-end LNReader-compatible repository sources	added explicit repository trust, bounded catalogs and downloads, atomic integrity-checked installs, isolated QuickJS runtimes, catalogue/chapter adapters, source registration, missing-source names, management UI, and backup/restore	app/src/main/java/dev/ahmedmohamed/hayai/novel/plugin	IMPLEMENTED
2026-08-20T21:18:00Z	validation	compiled the integrated runtime and ran focused plugin contract tests	verified descriptor validation, relative URLs, stable IDs, semantic versions, resource wiring, and J2K source integration	gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.plugin.*	VERIFIED
2026-08-20T21:42:00Z	review	closed the first independent JavaScript plugin audit	added authenticated relative asset loading, plugin setting backup, live restore reload, and off-main UI schema preparation after review found four integration gaps	NovelPluginSource.kt; NovelPluginManager.kt; HayaiBackupService.kt	IMPLEMENTED
2026-08-20T21:49:00Z	validation	fixed bounded stream accounting after the focused compiler rejected an integer width mismatch	kept the byte budget as a Long across reads and skips	NovelPluginSource.kt:1596	VERIFIED
2026-08-20T21:53:00Z	validation	compiled the plugin integration and ran focused plugin and backup tests	verified source registration, runtime contracts, protobuf compatibility, plugin code and settings round trips, and restore limits	gradlew :app:compileDevDebugKotlin; gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.plugin.* --tests dev.ahmedmohamed.hayai.backup.*	VERIFIED
2026-08-20T22:16:00Z	review	closed the second independent JavaScript plugin audit	routed restore through runtime preflight and kept previous code, metadata, settings, and live runtimes intact until replacement publication	NovelPluginManager.kt; NovelPluginStore.kt; HayaiBackupService.kt	VERIFIED
2026-08-20T22:19:00Z	validation	reran focused plugin and backup tests after transactional restore fixes	verified the final suspend restore integration, plugin contracts, backup protobuf limits, and chapter asset URL cases	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.plugin.* --tests dev.ahmedmohamed.hayai.backup.*	VERIFIED
2026-08-20T16:55:00Z	adult-controls	completed SY-compatible adult discovery and library filtering	added full adult aliases and legacy IDs, scoped Non-H handling, independent typed tri-state filtering, and discovery-only source gating without breaking downloads or existing library entries	app/src/main/java/dev/ahmedmohamed/hayai/adult; app/src/main/java/dev/ahmedmohamed/hayai/source	IMPLEMENTED
2026-08-20T16:55:00Z	validation	compiled the integrated app, ran focused adult/source tests, and checked the J2K boundary	verified tri-state values, malformed persistence, source visibility, classifier exceptions, discovery adapters, and protected lifecycle/image-reader files	gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.adult.* --tests dev.ahmedmohamed.hayai.source.*; tools/verify-upstream-boundary.ps1	VERIFIED
2026-08-20T16:55:00Z	review	closed the independent adult-control audit	moved Settings > Sources onto discovery-only APIs while preserving the complete source list for downloads, statistics, tracking, and direct source resolution	SourceManager.kt; SettingsSourcesController.kt	VERIFIED
2026-08-21T12:00:00Z	novel-integration	integrated novel behavior into existing J2K library, details, statistics, shortcuts, settings, downloads, and migration surfaces	kept J2K authoritative while making novel behavior visible and actionable in the normal application flows	NovelJ2kIntegration.kt; NovelOfflineManager.kt; NovelSettingsController.kt; NovelMigrationPolicy.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T12:05:00Z	adult-details	added an authenticated source-details preview seam and E-Hentai direct/sprite preview implementation	matched SY's details experience without placing source parsing or image-reader changes in J2K	EhDetailsPreviewLoader.kt; EhHtmlParser.kt; MangaHeaderHolder.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T12:30:00Z	validation	compiled the integrated app and ran affected novel reader/settings and E-Hentai tests with one Gradle worker	verified resource binding, Kotlin integration, typed preview fixtures, document rendering, and customization safety without parallel CPU load	gradlew --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.reader.* --tests dev.ahmedmohamed.hayai.novel.settings.* --tests dev.ahmedmohamed.hayai.adult.eh.*	VERIFIED
2026-08-21T13:00:00Z	recents-visibility	rebuilt per-source hiding for History, Updates, Grouped, and All behind one Hayai policy	retained legacy preference keys, kept J2K data authoritative, covered unavailable sources, and avoided source-filter drift between layouts	RecentSourceVisibility.kt; RecentSourceVisibilityEditor.kt; RecentsPresenter.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T13:08:00Z	validation	compiled the integrated app and ran the focused recents visibility tests with one Gradle worker	verified signed and malformed IDs, independent lists, mixed-view union, exact replacement, resources, bindings, and J2K presenter integration	gradlew --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.recents.* -x :app:formatKotlin	VERIFIED
2026-08-21T14:10:00Z	source-experience	added truthful source badges, built-in configurable-source routing, and effective E-Hentai browse/detail preferences	kept source behavior Hayai-owned, restored JavaScript plugin settings access, and avoided claiming audited enhanced wrappers as ports	SourcePresentation.kt; SourceSettingsController.kt; EhPreferences.kt; BrowseSourceController.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T14:20:00Z	validation	compiled the integrated source experience and ran focused preference and presentation tests with one Gradle worker	verified data binding for all badge layouts, built-in settings routing, SY category encoding, malformed preference fallback, and badge classification	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.adult.eh.settings.* --tests dev.ahmedmohamed.hayai.source.presentation.* -x :app:formatKotlin	VERIFIED
2026-08-21T15:00:00Z	enhanced-sources	replaced registry-only enhanced labels with ID-preserving extension wrappers	delegated core source behavior, validated imported hosts and identities, bounded secondary details parsing, and retained the original extension result on enrichment failure	EnhancedSourceRegistry.kt; HayaiEnhancedHttpSource.kt; EnhancedSourceUrlMapper.kt; EnhancedDetailsParser.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T15:15:00Z	validation	compiled delegated enhanced sources and ran focused registry, URL, parser, and badge tests with one Gradle worker	verified all six family parsers, foreign-host rejection, positive identities, fixed and dynamic matching, idempotent wrapping, filter preservation, and direct URL search fallback	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.source.enhanced.* --tests dev.ahmedmohamed.hayai.source.presentation.* -x :app:formatKotlin	VERIFIED
2026-08-21T16:30:00Z	eh-remote-uconfig	implemented the complete typed E-Hentai and ExHentai remote settings upload flow	preserved SY preference and cookie keys, encoded the full server matrix, reused owned profiles without destructive replacement, committed each site independently, and exposed pending state plus targeted retry	EhRemoteSettings.kt; EhUConfigFormCodec.kt; EhUConfigHttpRemote.kt; EhRemoteSettingsUploader.kt; EhSettingsActivity.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T18:00:00Z	eh-favorites-sync	implemented durable bidirectional and remote-only E-Hentai favorites reconciliation	planned from base/local/remote state, preserved notes and unrelated categories, made remote writes retryable by verified preconditions, applied local changes atomically with journal state, and retained interrupted runs for resume	adult/eh/favorites; HayaiEhPersistenceStore.kt; HayaiSchema.kt; EhSettingsActivity.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T17:15:00Z	validation	compiled the integrated app and ran focused E-Hentai session, settings, uconfig, and MockWebServer tests with one Gradle worker	verified exact form encoding, bounded response parsing, challenge rejection, cookie safety, idempotent profile reuse, partial retry, account marker reset, UI integration, and J2K dependency wiring	gradlew --no-daemon --no-parallel --max-workers=1 :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.adult.eh.uconfig.* --tests dev.ahmedmohamed.hayai.adult.eh.settings.* --tests dev.ahmedmohamed.hayai.adult.eh.session.* -x :app:formatKotlin	VERIFIED
2026-08-21T19:00:00Z	validation	compiled the integrated favorites runtime and ran focused planner, protocol, recovery, persistence, and backup tests with one Gradle worker	verified three-way conflict rules, alias safety, bounded remote parsing, journal round trips, restart recovery, schema and backup integration, and J2K adapter compilation	gradlew --no-daemon --no-parallel --max-workers=1 :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.adult.eh.favorites.* --tests dev.ahmedmohamed.hayai.backup.* --tests dev.ahmedmohamed.hayai.adult.eh.persistence.* -x :app:formatKotlin	VERIFIED
2026-08-21T22:05:00Z	novel-parity	added narrow J2K seams for novel export, remote extension ownership, and concrete tracking services	kept novel state and network behavior Hayai-owned while J2K remains authoritative for library, chapters, history, tracking, extensions, and backup order	AppModule.kt; BackupRestorer.kt; MangaDetailsController.kt; TrackManager.kt; SettingsTrackingController.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T22:12:00Z	novel-tracking-seam	superseded the earlier tracking seam record to include manga-details service filtering	novel-only trackers must remain hidden for image sources while the normal J2K tracking presenter stays authoritative	TrackManager.kt; SettingsTrackingController.kt; MangaDetailsPresenter.kt	IMPLEMENTED_UNVERIFIED
2026-08-21T22:02:00Z	validation	compiled the integrated parity batch and ran 241 focused tests with one Gradle worker	confirmed the new Hayai modules and their narrow J2K adapter seams compile together without parallel validation load	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin with focused Hayai test filters	VERIFIED
2026-08-21T22:16:00Z	independent-review	resolved all three medium findings without adding a protected J2K seam	used J2K's existing public tracker helper and kept E-Hentai retry state plus tracker protocol validation in Hayai-owned modules	.audit/final-parity-review.md; commits 7027b48e05 and 6cc6c5d7fa	IMPLEMENTED_UNVERIFIED
2026-08-21T22:22:00Z	post-review-validation	compiled the integrated app and ran 31 tracker and gallery-updater regression tests with one Gradle worker	confirmed the review fixes compile and pass while the protected lifecycle and image-reader boundary remains untouched	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests novel.tracker.* --tests adult.eh.update.* -x :app:formatKotlin	VERIFIED
2026-08-21T22:35:00Z	javascript-runtime	unified J2K extension evaluation and Hayai novel plugins on one QuickJS implementation	two incompatible dependencies packaged the same native libquickjs.so path and made every APK variant unassemblable	JavaScriptEngine.kt; HayaiJavaScriptEvaluator.kt; app/build.gradle.kts	IMPLEMENTED_UNVERIFIED
2026-08-21T23:47:00Z	apk-validation	assembled the universal dev-debug APK and verified its v2 debug signature	proved the unified JavaScript runtime packages successfully with no duplicate native library	gradlew --no-daemon --no-parallel --max-workers=1 :app:assembleDevDebug -x :app:formatKotlin; apksigner verify	VERIFIED
2026-08-22T00:15:00Z	upstream-rebase	replayed the complete Hayai stack onto J2K cdae5f2d77 and preserved the previous published head on codex/j2k-reset-pre-update-20260822	the three new J2K commits add per-extension incognito mode, display-unit fixes, and animated-cover fixes	j2k/master cdae5f2d77; backup branch codex/j2k-reset-pre-update-20260822	IMPLEMENTED_UNVERIFIED
2026-08-22T00:16:00Z	conflict-resolution	combined J2K per-extension incognito imports with Hayai E-Hentai icon fallback and novel source ABI	Source.kt was the only content conflict; both upstream and Hayai behavior remain present	app/src/main/java/eu/kanade/tachiyomi/source/Source.kt	RESOLVED
2026-08-22T00:21:00Z	validation	compiled the rebased app and ran 320 focused Hayai tests with one Gradle worker	verified source, novel, backup, migration, enhanced-source, E-Hentai, recents, and presentation integration after the upstream replay	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest with focused Hayai filters -x :app:formatKotlin	VERIFIED
2026-08-22T00:08:20Z	emulator-harness	replaced the fixed startup sleep with database readiness and explicit first-run permission handling	the authorized emulator proved migration succeeds when the harness does not force-stop the app before its lazy database open	commit 99c6f64c43	IMPLEMENTED_UNVERIFIED
2026-08-22T00:08:20Z	nightly-release	added an isolated nightly build, channel-aware updater policy, Hayai APK selection, monotonic release workflow, and pull-request CI	preserved stable and nightly identities while keeping release policy under the Hayai namespace	app/src/main/java/dev/ahmedmohamed/hayai/update/HayaiReleasePolicy.kt; .github/workflows/nightly.yml	IMPLEMENTED_UNVERIFIED
